"Origin Airport","Destination Airport","Operating Airline","Code Share","Fleet","Manufacturer","Schedule Type","DepCount","Operating Airline   Capacity","Operating Airline   ASK (Millions)","Seats per Operation","Distance (km)"
"LAX","EWR","UA","NO","752","BOEING","AIR","1565","269035","1063.76","172","3954"
"EWR","LAX","UA","NO","752","BOEING","AIR","1564","268866","1063.1","172","3954"
"BOS","SFO","UA","NO","752","BOEING","AIR","1533","263277","1146.83","172","4356"
"SFO","BOS","UA","NO","752","BOEING","AIR","1533","263270","1146.8","172","4356"
"SFO","EWR","UA","NO","752","BOEING","AIR","949","163258","675.07","172","4135"
"EWR","SFO","UA","NO","752","BOEING","AIR","948","163103","674.43","172","4135"
"EWR","MCO","UA","NO","752","BOEING","AIR","871","149985","227.98","172","1520"
"MCO","EWR","UA","NO","752","BOEING","AIR","850","146436","222.58","172","1520"
"EWR","DEN","UA","NO","752","BOEING","AIR","675","115895","299.47","172","2584"
"DEN","EWR","UA","NO","752","BOEING","AIR","648","111528","288.19","172","2584"
"BOS","LAX","UA","NO","752","BOEING","AIR","641","110163","463.13","172","4204"
"LAX","BOS","UA","NO","752","BOEING","AIR","640","109994","462.41","172","4204"
"ORD","EWR","UA","NO","752","BOEING","AIR","558","96577","111.93","173","1159"
"EDI","EWR","UA","NO","752","BOEING","AIR","519","89125","468.53","172","5257"
"EWR","EDI","UA","NO","752","BOEING","AIR","519","89118","468.49","172","5257"
"EWR","ORD","UA","NO","752","BOEING","AIR","458","79110","91.69","173","1159"
"DEN","LIH","UA","NO","752","BOEING","AIR","367","62975","346.36","172","5500"
"LIH","DEN","UA","NO","752","BOEING","AIR","367","62975","346.36","172","5500"
"EWR","PHX","UA","NO","752","BOEING","AIR","319","55164","189.98","173","3444"
"LIM","EWR","UA","NO","752","BOEING","AIR","319","54716","324.68","172","5934"
"EWR","LIM","UA","NO","752","BOEING","AIR","319","54716","324.68","172","5934"
"SFO","DEN","UA","NO","752","BOEING","AIR","301","51674","80.66","172","1561"
"LAS","EWR","UA","NO","752","BOEING","AIR","292","50930","182.43","174","3582"
"EWR","LAS","UA","NO","752","BOEING","AIR","289","50430","180.64","174","3582"
"KOA","DEN","UA","NO","752","BOEING","AIR","290","49731","267.2","171","5373"
"DEN","KOA","UA","NO","752","BOEING","AIR","290","49731","267.2","171","5373"
"FLL","EWR","UA","NO","752","BOEING","AIR","288","49533","85.79","172","1732"
"IAH","EWR","UA","NO","752","BOEING","AIR","261","44970","101.63","172","2260"
"EWR","FLL","UA","NO","752","BOEING","AIR","239","41329","71.58","173","1732"
"IAD","ORD","UA","NO","752","BOEING","AIR","229","39380","37.29","172","947"
"IAD","EWR","UA","NO","752","BOEING","AIR","223","38590","13.27","173","344"
"SFO","IAH","UA","NO","752","BOEING","AIR","214","36733","96.94","172","2639"
"SEA","IAD","UA","NO","752","BOEING","AIR","214","36642","136.02","171","3712"
"ORD","SFO","UA","NO","752","BOEING","AIR","210","35770","106.49","170","2977"
"SAN","EWR","UA","NO","752","BOEING","AIR","205","35478","138.75","173","3911"
"EWR","SAN","UA","NO","752","BOEING","AIR","205","35478","138.75","173","3911"
"SNN","EWR","UA","NO","752","BOEING","AIR","203","34790","173.15","171","4977"
"EWR","SNN","UA","NO","752","BOEING","AIR","203","34783","173.11","171","4977"
"OPO","EWR","UA","NO","752","BOEING","AIR","200","34283","184.03","171","5368"
"EWR","OPO","UA","NO","752","BOEING","AIR","200","34276","183.99","171","5368"
"IAH","SFO","UA","NO","752","BOEING","AIR","195","33522","88.46","172","2639"
"PHX","EWR","UA","NO","752","BOEING","AIR","186","32323","111.32","174","3444"
"DUB","EWR","UA","NO","752","BOEING","AIR","188","32255","165.66","172","5136"
"DUB","ORD","UA","NO","752","BOEING","AIR","188","32255","190.56","172","5908"
"EWR","DUB","UA","NO","752","BOEING","AIR","188","32248","165.63","172","5136"
"ORD","DUB","UA","NO","752","BOEING","AIR","188","32248","190.52","172","5908"
"EWR","IAH","UA","NO","752","BOEING","AIR","181","31415","71.0","174","2260"
"DEN","SFO","UA","NO","752","BOEING","AIR","167","28769","44.91","172","1561"
"EWR","BOS","UA","NO","752","BOEING","AIR","162","28372","9.19","175","324"
"IAH","LAX","UA","NO","752","BOEING","AIR","158","27353","60.86","173","2225"
"LAX","IAH","UA","NO","752","BOEING","AIR","156","27022","60.12","173","2225"
"DEN","ORD","UA","NO","752","BOEING","AIR","158","26807","38.33","170","1430"
"EDI","ORD","UA","NO","752","BOEING","AIR","147","25130","150.03","171","5970"
"ORD","EDI","UA","NO","752","BOEING","AIR","147","25123","149.98","171","5970"
"EWR","SEA","UA","NO","752","BOEING","AIR","144","24812","95.97","172","3868"
"ORD","IAD","UA","NO","752","BOEING","AIR","144","24637","23.33","171","947"
"KEF","ORD","UA","NO","752","BOEING","AIR","139","23771","112.6","171","4737"
"ORD","KEF","UA","NO","752","BOEING","AIR","139","23764","112.57","171","4737"
"IAD","DUB","UA","NO","752","BOEING","AIR","135","23263","127.43","172","5478"
"DUB","IAD","UA","NO","752","BOEING","AIR","134","23087","126.47","172","5478"
"EDI","IAD","UA","NO","752","BOEING","AIR","131","22489","125.83","172","5595"
"IAD","EDI","UA","NO","752","BOEING","AIR","131","22489","125.83","172","5595"
"SNN","ORD","UA","NO","752","BOEING","AIR","126","21574","124.55","171","5773"
"ORD","SNN","UA","NO","752","BOEING","AIR","126","21567","124.51","171","5773"
"DEN","HNL","UA","NO","752","BOEING","AIR","119","20426","110.71","172","5420"
"HNL","DEN","UA","NO","752","BOEING","AIR","119","20426","110.71","172","5420"
"LIS","IAD","UA","NO","752","BOEING","AIR","118","20166","116.56","171","5780"
"IAD","LIS","UA","NO","752","BOEING","AIR","118","20159","116.52","171","5780"
"BOS","DEN","UA","NO","752","BOEING","AIR","103","17778","50.15","173","2821"
"ARN","EWR","UA","NO","752","BOEING","AIR","101","17776","112.45","176","6326"
"EWR","ARN","UA","NO","752","BOEING","AIR","101","17776","112.45","176","6326"
"DEN","BOS","UA","NO","752","BOEING","AIR","103","17764","50.11","172","2821"
"BOS","EWR","UA","NO","752","BOEING","AIR","98","17101","5.54","175","324"
"EWR","TPA","UA","NO","752","BOEING","AIR","101","17069","27.6","169","1617"
"TPA","EWR","UA","NO","752","BOEING","AIR","101","17069","27.6","169","1617"
"EGE","EWR","UA","NO","752","BOEING","AIR","95","16132","44.86","170","2781"
"EWR","EGE","UA","NO","752","BOEING","AIR","95","16132","44.86","170","2781"
"SFO","IAD","UA","NO","752","BOEING","AIR","92","15604","60.79","170","3896"
"PHX","IAH","UA","NO","752","BOEING","AIR","81","13689","22.33","169","1631"
"LAS","DEN","UA","NO","752","BOEING","AIR","80","13527","13.64","169","1008"
"DEN","LAS","UA","NO","752","BOEING","AIR","80","13527","13.64","169","1008"
"EWR","IAD","UA","NO","752","BOEING","AIR","71","12342","4.25","174","344"
"LAX","DEN","UA","NO","752","BOEING","AIR","72","12322","17.15","171","1392"
"IAD","SEA","UA","NO","752","BOEING","AIR","70","11830","43.91","169","3712"
"DEN","LAX","UA","NO","752","BOEING","AIR","66","11294","15.72","171","1392"
"BOS","IAD","UA","NO","752","BOEING","AIR","63","11088","7.41","176","668"
"IAD","SAN","UA","NO","752","BOEING","AIR","65","10985","39.88","169","3630"
"SAN","IAD","UA","NO","752","BOEING","AIR","65","10985","39.88","169","3630"
"IAH","ORD","UA","NO","752","BOEING","AIR","64","10935","16.44","171","1503"
"IAD","SFO","UA","NO","752","BOEING","AIR","64","10872","42.36","170","3896"
"DEN","FLL","UA","NO","752","BOEING","AIR","60","10140","27.94","169","2755"
"EWR","PBI","UA","NO","752","BOEING","AIR","58","9802","16.25","169","1658"
"PBI","EWR","UA","NO","752","BOEING","AIR","58","9802","16.25","169","1658"
"IAD","LAX","UA","NO","752","BOEING","AIR","54","9168","33.77","170","3683"
"EWR","AGP","UA","NO","752","BOEING","AIR","52","9152","54.03","176","5904"
"AGP","EWR","UA","NO","752","BOEING","AIR","52","9152","54.03","176","5904"
"PHX","ORD","UA","NO","752","BOEING","AIR","52","9152","21.32","176","2330"
"LAX","IAD","UA","NO","752","BOEING","AIR","53","8992","33.12","170","3683"
"LAS","IAD","UA","NO","752","BOEING","AIR","51","8731","28.98","171","3319"
"IAD","LAS","UA","NO","752","BOEING","AIR","50","8555","28.39","171","3319"
"TFS","EWR","UA","NO","752","BOEING","AIR","48","8231","44.27","171","5379"
"EWR","TFS","UA","NO","752","BOEING","AIR","48","8224","44.24","171","5379"
"ORD","IAH","UA","NO","752","BOEING","AIR","46","7900","11.87","172","1503"
"IAH","LAS","UA","NO","752","BOEING","AIR","41","6929","13.64","169","1969"
"LAS","IAH","UA","NO","752","BOEING","AIR","37","6253","12.31","169","1969"
"IAH","BOG","UA","NO","752","BOEING","AIR","33","5703","20.58","173","3608"
"IAH","SJO","UA","NO","752","BOEING","AIR","33","5703","14.35","173","2516"
"XPL","IAH","UA","NO","752","BOEING","AIR","33","5703","10.93","173","1917"
"SAP","IAH","UA","NO","752","BOEING","AIR","33","5703","10.27","173","1800"
"SJO","IAH","UA","NO","752","BOEING","AIR","33","5703","14.35","173","2516"
"IAH","XPL","UA","NO","752","BOEING","AIR","33","5703","10.93","173","1917"
"IAH","SAP","UA","NO","752","BOEING","AIR","33","5703","10.27","173","1800"
"BOG","IAH","UA","NO","752","BOEING","AIR","33","5696","20.55","173","3608"
"IAH","UIO","UA","NO","752","BOEING","AIR","32","5534","21.26","173","3841"
"UIO","IAH","UA","NO","752","BOEING","AIR","32","5527","21.23","173","3841"
"ORD","LAX","UA","NO","752","BOEING","AIR","31","5253","14.77","169","2812"
"IAH","DEN","UA","NO","752","BOEING","AIR","29","4985","6.98","172","1400"
"LAX","ORD","UA","NO","752","BOEING","AIR","29","4901","13.78","169","2812"
"DEN","IAH","UA","NO","752","BOEING","AIR","27","4640","6.5","172","1400"
"FLL","IAH","UA","NO","752","BOEING","AIR","25","4302","6.69","172","1556"
"DCA","DEN","UA","NO","752","BOEING","AIR","25","4225","10.04","169","2377"
"DEN","DCA","UA","NO","752","BOEING","AIR","25","4225","10.04","169","2377"
"MCO","DEN","UA","NO","752","BOEING","AIR","24","4063","10.12","169","2492"
"MCO","SFO","UA","NO","752","BOEING","AIR","23","4048","15.94","176","3937"
"SFO","MCO","UA","NO","752","BOEING","AIR","23","4048","15.94","176","3937"
"IAD","DEN","UA","NO","752","BOEING","AIR","22","3809","8.9","173","2336"
"DEN","IAD","UA","NO","752","BOEING","AIR","21","3647","8.52","174","2336"
"FLL","DEN","UA","NO","752","BOEING","AIR","21","3549","9.78","169","2755"
"SFO","FLL","UA","NO","752","BOEING","AIR","20","3380","14.08","169","4167"
"SFO","LAX","UA","NO","752","BOEING","AIR","19","3337","1.81","176","542"
"SDQ","EWR","UA","NO","752","BOEING","AIR","18","3168","8.01","176","2527"
"EWR","SDQ","UA","NO","752","BOEING","AIR","18","3168","8.01","176","2527"
"LAX","SFO","UA","NO","752","BOEING","AIR","18","3161","1.71","176","542"
"SFO","KOA","UA","NO","752","BOEING","AIR","14","2380","9.1","170","3822"
"KOA","SFO","UA","NO","752","BOEING","AIR","14","2380","9.1","170","3822"
"IAH","FLL","UA","NO","752","BOEING","AIR","14","2366","3.68","169","1556"
"OGG","DEN","UA","NO","752","BOEING","AIR","13","2211","11.77","170","5325"
"DEN","OGG","UA","NO","752","BOEING","AIR","13","2211","11.77","170","5325"
"LAX","MCO","UA","NO","752","BOEING","AIR","12","2042","7.29","170","3568"
"MCO","LAX","UA","NO","752","BOEING","AIR","11","1873","6.68","170","3568"
"TPA","IAD","UA","NO","752","BOEING","AIR","9","1521","2.0","169","1316"
"IAD","TPA","UA","NO","752","BOEING","AIR","9","1521","2.0","169","1316"
"ORD","DEN","UA","NO","752","BOEING","AIR","6","1028","1.47","171","1430"
"MIA","ORD","UA","NO","752","BOEING","AIR","5","880","1.71","176","1944"
"ORD","MIA","UA","NO","752","BOEING","AIR","5","880","1.71","176","1944"
"LIH","SFO","UA","NO","752","BOEING","AIR","5","845","3.33","169","3940"
"SFO","LIH","UA","NO","752","BOEING","AIR","5","845","3.33","169","3940"
"RSW","EWR","UA","NO","752","BOEING","AIR","4","676","1.18","169","1740"
"BOG","EWR","UA","NO","752","BOEING","AIR","4","676","2.73","169","4039"
"IAH","IAD","UA","NO","752","BOEING","AIR","4","676","1.3","169","1920"
"SFO","ORD","UA","NO","752","BOEING","AIR","4","676","2.01","169","2977"
"FLL","IAD","UA","NO","752","BOEING","AIR","4","676","0.99","169","1469"
"TPA","SFO","UA","NO","752","BOEING","AIR","3","507","1.96","169","3860"
"SFO","TPA","UA","NO","752","BOEING","AIR","3","507","1.96","169","3860"
"SFO","LAS","UA","NO","752","BOEING","AIR","3","507","0.34","169","670"
"TPA","IAH","UA","NO","752","BOEING","AIR","3","507","0.64","169","1270"
"OGG","SFO","UA","NO","752","BOEING","AIR","3","507","1.91","169","3769"
"IAH","TPA","UA","NO","752","BOEING","AIR","3","507","0.64","169","1270"
"IAD","FLL","UA","NO","752","BOEING","AIR","3","507","0.74","169","1469"
"EWR","BOG","UA","NO","752","BOEING","AIR","3","507","2.05","169","4039"
"IAD","IAH","UA","NO","752","BOEING","AIR","3","507","0.97","169","1920"
"EWR","RSW","UA","NO","752","BOEING","AIR","3","507","0.88","169","1740"
"LAS","SFO","UA","NO","752","BOEING","AIR","3","507","0.34","169","670"
"SFO","OGG","UA","NO","752","BOEING","AIR","3","507","1.91","169","3769"
"BOS","ORD","UA","NO","752","BOEING","AIR","1","176","0.25","176","1393"
"ORD","BOS","UA","NO","752","BOEING","AIR","1","176","0.25","176","1393"
"DEN","MCO","UA","NO","752","BOEING","AIR","1","176","0.44","176","2492"
"IAD","RSW","UA","NO","752","BOEING","AIR","1","169","0.25","169","1455"
"LAS","BOS","UA","NO","752","BOEING","AIR","1","169","0.65","169","3827"
"MIA","EWR","UA","NO","752","BOEING","AIR","1","169","0.3","169","1763"
"PHX","IAD","UA","NO","752","BOEING","AIR","1","169","0.53","169","3156"
"IAD","MCO","UA","NO","752","BOEING","AIR","1","169","0.21","169","1230"
"DEN","PHX","UA","NO","752","BOEING","AIR","1","169","0.17","169","984"
"MSY","EWR","UA","NO","752","BOEING","AIR","1","169","0.32","169","1889"
"ORD","PHX","UA","NO","752","BOEING","AIR","1","169","0.39","169","2330"
"PHX","DEN","UA","NO","752","BOEING","AIR","1","169","0.17","169","984"
"LAX","LAS","UA","NO","752","BOEING","AIR","1","169","0.07","169","388"
"EWR","MIA","UA","NO","752","BOEING","AIR","1","169","0.3","169","1763"
"IAD","MSY","UA","NO","752","BOEING","AIR","1","169","0.26","169","1545"
