ORIG,DEST,ROUTE,DIST,TIME,FREQ
AUS,DAL,AUS_DAL,1284.33,1.5000,0.00057853630
BCT,PBI,BCT_PBI,313.95,0.3667,0.00043390223
BED,TEB,BED_TEB,799.14,0.9333,0.00043390223
BFI,HND,BFI_HND,8918.99,10.4167,0.00043390223
HND,BFI,HND_BFI,8918.99,10.4167,0.00043390223
BFI,LAS,BFI_LAS,1783.80,2.0833,0.00043390223
BFI,SJC,BFI_SJC,1555.47,1.8167,0.00043390223
BFI,NUQ,BFI_NUQ,1398.50,1.6333,0.00043390223
NUQ,BFI,NUQ_BFI,1398.50,1.6333,0.00043390223
BFI,LAX,BFI_LAX,1969.31,2.3000,0.00043390223
BFI,VNY,BFI_VNY,1840.88,2.1500,0.00043390223
DAL,AUS,DAL_AUS,599.36,0.7000,0.00028926815
CMH,TEB,CMH_TEB,1184.44,1.3833,0.00028926815
DAL,DWH,DAL_DWH,627.90,0.7333,0.00028926815
BOS,TEB,BOS_TEB,813.41,0.9500,0.00028926815
DWH,EGE,DWH_EGE,2169.10,2.5333,0.00028926815
EGE,DWH,EGE_DWH,2169.10,2.5333,0.00028926815
LAX,VNY,LAX_VNY,256.87,0.3000,0.00014463408
FLL,TEB,FLL_TEB,2112.02,2.4667,0.00014463408
PBI,BCT,PBI_BCT,256.87,0.3000,0.00014463408
HNL,KOA,HNL_KOA,485.19,0.5667,0.00014463408
KOA,HNL,KOA_HNL,485.19,0.5667,0.00014463408
HOU,DAL,HOU_DAL,713.52,0.8333,0.00014463408
VNY,LAX,VNY_LAX,299.68,0.3500,0.00014463408
HPN,MVY,HPN_MVY,570.82,0.6667,0.00014463408
MVY,HPN,MVY_HPN,570.82,0.6667,0.00014463408
SFO,SJC,SFO_SJC,313.95,0.3667,0.00014463408
IAD,BOS,IAD_BOS,1027.47,1.2000,0.00014463408
PBI,MIA,PBI_MIA,371.03,0.4333,0.00014463408
TEB,HPN,TEB_HPN,371.03,0.4333,0.00014463408
PBI,OPF,PBI_OPF,399.57,0.4667,0.00014463408
OPF,PBI,OPF_PBI,399.57,0.4667,0.00014463408
MIA,PBI,MIA_PBI,413.84,0.4833,0.00014463408
HPN,TEB,HPN_TEB,442.38,0.5167,0.00014463408
ICT,TEB,ICT_TEB,2268.99,2.6500,0.00014463408
FOK,TEB,FOK_TEB,513.73,0.6000,0.00014463408
HPN,BED,HPN_BED,528.00,0.6167,0.00014463408
NAS,PBI,NAS_PBI,656.44,0.7667,0.00014463408
LAX,LAS,LAX_LAS,699.25,0.8167,0.00014463408
TEB,BED,TEB_BED,699.25,0.8167,0.00014463408
LBG,LTN,LBG_LTN,1284.33,1.5000,0.00014463408
LTN,LBG,LTN_LBG,1284.33,1.5000,0.00014463408
LAS,LAX,LAS_LAX,713.52,0.8333,0.00014463408
MIA,NAS,MIA_NAS,613.63,0.7167,0.00014463408
LAS,VNY,LAS_VNY,742.06,0.8667,0.00014463408
SJC,VNY,SJC_VNY,770.60,0.9000,0.00014463408
VNY,LAS,VNY_LAS,856.22,1.0000,0.00014463408
NCE,TEB,NCE_TEB,7249.35,8.4667,0.00014463408
IAD,TEB,IAD_TEB,870.49,1.0167,0.00014463408
IAD,HPN,IAD_HPN,941.85,1.1000,0.00014463408
SJC,LAS,SJC_LAS,970.39,1.1333,0.00014463408
ICT,DAL,ICT_DAL,1127.36,1.3167,0.00014463408
LAS,SJC,LAS_SJC,1141.63,1.3333,0.00014463408
ICT,MDW,ICT_MDW,1227.25,1.4333,0.00014463408
MDW,ICT,MDW_ICT,1227.25,1.4333,0.00014463408
PLS,PBI,PLS_PBI,1512.66,1.7667,0.00014463408
PBI,PLS,PBI_PLS,1255.79,1.4667,0.00014463408
TEB,IAD,TEB_IAD,1284.33,1.5000,0.00014463408
SFO,VNY,SFO_VNY,742.06,0.8667,0.00014463408
ICT,ICT,ICT_ICT,1412.77,1.6500,0.00014463408
SJC,BFI,SJC_BFI,1541.20,1.8000,0.00014463408
VNY,BFI,VNY_BFI,1840.88,2.1500,0.00014463408
FLL,PBI,FLL_PBI,2054.94,2.4000,0.00014463408
SLC,LAS,SLC_LAS,1155.90,1.3500,0.00014463408
PBI,TEB,PBI_TEB,2126.29,2.4833,0.00014463408
TEB,BOS,TEB_BOS,713.52,0.8333,0.00014463408
TEB,FOK,TEB_FOK,485.19,0.5667,0.00014463408
TEB,FRG,TEB_FRG,528.00,0.6167,0.00014463408
FRG,TEB,FRG_TEB,528.00,0.6167,0.00014463408
TEB,HOU,TEB_HOU,2996.78,3.5000,0.00014463408
PBI,HPN,PBI_HPN,2226.18,2.6000,0.00014463408
TEB,MIA,TEB_MIA,2340.34,2.7333,0.00014463408
SJC,LAX,SJC_LAX,2568.67,3.0000,0.00014463408
PLS,TEB,PLS_TEB,2782.72,3.2500,0.00014463408
TEB,ICT,TEB_ICT,2782.72,3.2500,0.00014463408
TEB,PBI,TEB_PBI,2939.70,3.4333,0.00014463408
MIA,TEB,MIA_TEB,3296.46,3.8500,0.00014463408
VNY,TEB,VNY_TEB,4095.60,4.7833,0.00014463408
TEB,VNY,TEB_VNY,4823.39,5.6333,0.00014463408
TEB,LTN,TEB_LTN,5651.07,6.6000,0.00014463408
TEB,LBG,TEB_LBG,5865.13,6.8500,0.00014463408
VNY,NUQ,VNY_NUQ,742.06,0.8667,0.00014463408
VNY,SJC,VNY_SJC,770.60,0.9000,0.00014463408
LBG,TEB,LBG_TEB,6692.81,7.8167,0.00014463408
YYZ,TEB,YYZ_TEB,941.85,1.1000,0.00014463408
