ORIG,DEST,ROUTE,DIST,TIME,FREQ,COUNT
ABE,TEB,ABE_TEB,356.75958333333335,0.4166666666666667,0.00506219265258895,1
ABQ,APA,ABQ_APA,742.0599333333333,0.8666666666666667,0.004194388197859416,2
ABQ,BDL,ABQ_BDL,2796.9951333333333,3.2666666666666666,0.0037604859704946487,1
ABQ,FTW,ABQ_FTW,1127.3602833333332,1.3166666666666667,0.0037604859704946487,1
ABQ,LAX,ABQ_LAX,1384.2271833333332,1.6166666666666667,0.0033265837431298816,1
ACC,BOS,ACC_BOS,9075.9638,10.6,0.003181949667341626,2
ACC,BQH,ACC_BQH,5822.3164,6.8,0.0028926815157651145,1
ACC,MUB,ACC_MUB,4038.5184833333333,4.716666666666667,0.0028926815157651145,1
ACK,CLT,ACK_CLT,1584.01255,1.85,0.0027480474399768588,1
ACK,HPN,ACK_HPN,556.54495,0.65,0.0027480474399768588,1
ACK,IAD,ACK_IAD,1284.3345,1.5,0.0027480474399768588,4
ACK,PBI,ACK_PBI,2397.4244,2.8,0.0026034133641886026,1
ACK,PWK,ACK_PWK,1726.7163833333332,2.0166666666666666,0.0026034133641886026,1
ACY,ANC,ACY_ANC,5693.88295,6.65,0.0026034133641886026,1
ACY,MIA,ACY_MIA,2054.9352,2.4,0.0023141452126120912,2
ACY,PHL,ACY_PHL,242.59651666666664,0.2833333333333333,0.0021695111368238355,2
ACY,TEB,ACY_TEB,499.46341666666666,0.5833333333333334,0.00202487706103558,2
ACY,TLC,ACY_TLC,3367.810466666667,3.9333333333333336,0.00202487706103558,1
ADS,DAL,ADS_DAL,214.05575,0.25,0.00202487706103558,1
ADS,ROC,ADS_ROC,1812.3386833333332,2.1166666666666667,0.0018802429852473243,1
ADS,SEA,ADS_SEA,2968.2397333333333,3.466666666666667,0.0018802429852473243,1
AEP,EZE,AEP_EZE,242.59651666666664,0.2833333333333333,0.0018802429852473243,2
AEP,OPF,AEP_OPF,7477.680866666666,8.733333333333333,0.0018802429852473243,1
AEP,TEB,AEP_TEB,8704.933833333333,10.166666666666666,0.0018802429852473243,1
AEY,RKV,AEY_RKV,485.1930333333333,0.5666666666666667,0.0018802429852473243,1
AFW,DAL,AFW_DAL,428.1115,0.5,0.0018802429852473243,1
AGP,HPN,AGP_HPN,6535.835566666666,7.633333333333333,0.0018802429852473243,1
AGP,IBZ,AGP_IBZ,799.1414666666666,0.9333333333333333,0.0018802429852473243,1
AGP,LTN,AGP_LTN,1940.7721333333332,2.2666666666666666,0.0017356089094590686,1
AGP,PIK,AGP_PIK,2283.261333333333,2.6666666666666665,0.0017356089094590686,1
AGS,AVL,AGS_AVL,413.84111666666666,0.48333333333333334,0.0017356089094590686,1
AGS,HOU,AGS_HOU,1826.6090666666666,2.1333333333333333,0.001590974833670813,1
AGS,MMU,AGS_MMU,1113.0899,1.3,0.001590974833670813,1
AGS,PBI,AGS_PBI,884.7637666666667,1.0333333333333334,0.001590974833670813,1
AGS,TEB,AGS_TEB,1455.5791,1.7,0.001590974833670813,1
AGU,QRO,AGU_QRO,399.5707333333333,0.4666666666666667,0.001590974833670813,1
AHN,MIA,AHN_MIA,1412.76795,1.65,0.001590974833670813,1
AHN,TEB,AHN_TEB,1255.7937333333334,1.4666666666666668,0.0013017066820943013,2
AIK,PBI,AIK_PBI,1212.9825833333334,1.4166666666666667,0.0013017066820943013,1
AKL,HNL,AKL_HNL,6835.513616666666,7.983333333333333,0.0013017066820943013,1
AKL,SYD,AKL_SYD,2425.965166666667,2.8333333333333335,0.0013017066820943013,1
ALB,LTN,ALB_LTN,5437.016049999999,6.35,0.0013017066820943013,3
ALB,PSM,ALB_PSM,485.1930333333333,0.5666666666666667,0.0011570726063060456,1
ALB,UGN,ALB_UGN,1427.0383333333332,1.6666666666666665,0.0011570726063060456,1
AMS,BFI,AMS_BFI,8034.225816666666,9.383333333333333,0.0011570726063060456,1
AMS,BIO,AMS_BIO,1298.6048833333332,1.5166666666666666,0.0011570726063060456,1
AMS,FAB,AMS_FAB,742.0599333333333,0.8666666666666667,0.0011570726063060456,1
AMS,FOK,AMS_FOK,5865.127549999999,6.85,0.0011570726063060456,1
AMS,IAD,AMS_IAD,7049.569366666666,8.233333333333333,0.0011570726063060456,1
AMS,KRS,AMS_KRS,899.03415,1.05,0.0011570726063060456,1
AMS,LHR,AMS_LHR,841.9526166666666,0.9833333333333333,0.0011570726063060456,1
AMS,MDW,AMS_MDW,7120.921283333333,8.316666666666666,0.0011570726063060456,1
AMS,MXP,AMS_MXP,1184.4418166666667,1.3833333333333333,0.00101243853051779,1
AMS,ORD,AMS_ORD,7406.32895,8.65,0.00101243853051779,1
AMS,PMI,AMS_PMI,1641.0940833333332,1.9166666666666665,0.00101243853051779,1
AMS,SLC,AMS_SLC,7962.8739000000005,9.3,0.00101243853051779,1
AMS,STN,AMS_STN,627.8968666666666,0.7333333333333333,0.00101243853051779,1
AMS,TEB,AMS_TEB,6307.509433333333,7.366666666666666,0.00101243853051779,1
ANC,BFI,ANC_BFI,2440.23555,2.85,0.00101243853051779,3
