Engine UID,FH/FC-Ratio,a,b
0,0.5,-0.004678361202928226,5.491688239134033
1,1,-0.004644959778151449,5.493222827563528
2,1.5,-0.004607612361485991,5.492824580430345
3,2,-0.004661686162838978,5.484590537668462
4,2.5,-0.00454574771438293,5.487665320402411
5,3,-0.004529831273501068,5.48878600019008
6,3.5,-0.004475531217272272,5.491125210187925
7,4,-0.004500562897960982,5.491413294578264
8,4.5,-0.004395100136464098,5.492340347364048
9,5,-0.004482133160081373,5.490502336735945
10,5.5,-0.004472705906506523,5.490711877523962
11,6,-0.0041107342922086145,5.4899244601004495
12,6.5,-0.00419661838128678,5.487634697868106
13,7,-0.004287055983251892,5.490221440795888
14,7.5,-0.004180108176067619,5.4908985651704
15,8,-0.004162606405055152,5.488697857713293
17,9,-0.004154868064673459,5.483401043382022
16,8.5,-0.004158074731812758,5.4882704506026
22,11.5,-0.004055440640665436,5.491695949086511
18,9.5,-0.004068479863043063,5.49084321657234
21,11,-0.004074792218085615,5.492192040310902
19,10,-0.004093159633063677,5.492663544857708
20,10.5,-0.004210254085407536,5.485007485505344
